timestamp,agent.name,rule.description,rule.level,rule.id
"Dec 14, 2025 @ 12:18:40.543",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:18:36.396",DESKTOP-T2IA3AS,Registry Value Integrity Checksum Changed,5,750
"Dec 14, 2025 @ 12:18:36.396",DESKTOP-T2IA3AS,Registry Key Integrity Checksum Changed,5,594
"Dec 14, 2025 @ 12:18:14.907",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:18:14.904",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:18:14.900",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:18:14.896",DESKTOP-T2IA3AS,Non service account logged off.,3,67023
"Dec 14, 2025 @ 12:18:14.893",DESKTOP-T2IA3AS,Special privileges assigned to new logon.,3,67028
"Dec 14, 2025 @ 12:18:14.890",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:18:14.885",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:18:14.877",DESKTOP-T2IA3AS,User account changed,8,60110
"Dec 14, 2025 @ 12:18:14.873",DESKTOP-T2IA3AS,Special privileges assigned to new logon.,3,67028
"Dec 14, 2025 @ 12:18:14.869",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:18:14.864",DESKTOP-T2IA3AS,Non network or service local logon.,3,67022
"Dec 14, 2025 @ 12:18:14.855",DESKTOP-T2IA3AS,User account changed,8,60110
"Dec 14, 2025 @ 12:18:11.415",DESKTOP-T2IA3AS,Logon Failure - Unknown user or bad password,5,60122
"Dec 14, 2025 @ 12:18:07.736",DESKTOP-T2IA3AS,Logon Failure - Unknown user or bad password,5,60122
